position,adverbial indicator,NP-VP-NP,,score
0.2,0.4,0.1,0.9,0.6248497578306279
0.0,0.5,0.2,0.0,0.606473345757135
0.1,0.8,0.5,0.4,0.6036443620358403
0.5,0.0,0.2,0.8,0.6453621298336301
0.1,0.8,0.0,0.0,0.587468642412645
0.1,0.5,0.3,0.7,0.650306750209828
0.1,0.6,0.7,0.9,0.7360422723432982
0.2,0.1,0.3,0.7,0.6248497578306278
0.5,0.2,0.4,0.8,0.6439607373100469
0.1,0.6,0.5,0.7,0.6421093774163809
0.2,0.7,0.3,0.1,0.6098497114898191
0.1,0.5,0.1,0.9,0.6503067502098281
0.1,0.9,0.7,0.4,0.6036443620358404
0.2,0.5,0.9,0.2,0.606473345757135
0.4,0.8,0.0,0.7,0.616743475029038
0.0,0.2,0.7,0.4,0.624849757830628
0.2,0.3,0.6,0.8,0.6377542048855829
0.2,0.8,0.7,0.7,0.6207724856690555
0.1,0.5,0.7,0.5,0.6453621298336302
0.2,0.9,0.5,0.0,0.606473345757135
0.1,0.8,0.2,0.7,0.5885962533484481
0.0,0.5,0.8,0.2,0.606473345757135
0.1,0.6,0.1,0.5,0.6214304783731612
0.6,0.8,0.9,0.4,0.6267862285502066
0.1,0.5,0.5,0.6,0.6095352455745626
0.1,0.8,0.8,0.3,0.6379159341212507
0.9,0.1,0.3,0.9,0.6439607373100468
0.2,0.2,0.7,0.6,0.6440714106331327
0.0,0.6,0.1,0.2,0.6063626724340493
0.2,0.2,0.2,0.1,0.6200692132238669
0.3,0.7,0.9,0.9,0.6439607373100469
0.1,0.6,0.3,0.6,0.6761701431293514
0.3,0.0,0.2,0.5,0.6439607373100469
0.3,0.9,0.2,0.3,0.6063626724340492
0.1,0.9,0.4,0.3,0.5860560763011832
0.3,0.2,0.7,0.1,0.6209947247215651
0.1,0.5,0.9,0.5,0.6316820796784821
0.1,0.7,0.5,0.0,0.6182602381028763
0.1,0.7,0.7,0.5,0.6064733457571347
0.2,0.7,0.3,0.2,0.6182795533540283
0.3,0.3,0.7,0.0,0.6064733457571349
0.7,0.8,0.0,0.2,0.6155076763766503
0.0,0.2,0.9,0.9,0.719089908659019
0.1,0.7,0.2,0.6,0.729145686535906
0.2,0.1,0.7,0.6,0.6440714106331327
0.1,0.5,0.0,0.2,0.6036443620358403
0.3,0.1,0.8,0.7,0.644795674376052
0.1,0.8,0.0,0.1,0.6214304783731613
0.2,0.3,0.6,0.9,0.6439607373100469
0.2,0.5,0.4,0.0,0.606473345757135
0.4,0.0,0.7,0.7,0.6439607373100469
0.0,0.4,0.3,0.1,0.606473345757135
0.1,0.9,0.1,0.3,0.5860560763011832
0.1,0.9,0.7,0.5,0.6214304783731612
0.8,0.4,0.1,0.1,0.6228328739943274
0.1,0.6,0.8,0.0,0.5874686424126448
0.7,0.3,0.2,0.0,0.620772485669056
0.6,0.0,0.7,0.9,0.6439607373100469
0.9,0.9,0.4,0.5,0.6284095311442309
0.0,0.1,0.7,0.6,0.6851920628280016
0.1,0.5,0.3,0.8,0.6851920628280016
0.5,0.7,0.6,0.0,0.6064733457571351
0.9,0.1,0.4,0.3,0.6439607373100468
0.2,0.2,0.7,0.7,0.637910856688219
0.2,0.1,0.0,0.2,0.6503067502098281
0.2,0.4,0.2,0.3,0.620069213223867
0.0,0.2,0.1,0.0,0.6231606662802978
0.1,0.5,0.2,0.0,0.6490687816989058
0.5,0.2,0.5,0.2,0.6440714106331327
0.1,0.8,0.8,0.4,0.587468642412645
0.2,0.7,0.3,0.3,0.5860560763011832
0.1,0.5,0.7,0.6,0.637910856688219
0.3,0.5,0.6,0.8,0.6416654489720646
0.2,0.8,0.7,0.9,0.6553205330100567
0.0,0.8,0.7,0.6,0.6064733457571352
0.1,0.6,0.1,0.6,0.6248497578306277
0.9,0.9,0.4,0.7,0.616743475029038
0.1,0.9,0.4,0.4,0.5874686424126448
0.2,0.5,0.9,0.4,0.6208831589921414
0.2,0.4,0.9,0.0,0.606473345757135
0.1,0.5,0.5,0.7,0.6453621298336302
0.9,0.1,0.4,0.5,0.6439607373100468
0.1,0.6,0.3,0.7,0.6439607373100469
0.1,0.7,0.5,0.1,0.6132161745766894
0.1,0.7,0.7,0.6,0.6638600553712172
0.4,0.4,0.1,0.2,0.6207724856690559
0.3,0.0,0.2,0.7,0.6451534573533259
0.1,0.5,0.9,0.6,0.6248497578306278
0.1,0.0,0.1,0.7,0.6439607373100468
0.1,0.8,0.5,0.6,0.5874686424126448
0.5,0.7,0.6,0.2,0.609849711489819
0.3,0.3,0.7,0.2,0.6207602882191261
0.1,0.7,0.2,0.7,0.6439607373100468
0.1,0.8,0.0,0.2,0.5957548786133302
0.6,0.4,0.7,0.0,0.6267862285502066
0.3,0.1,0.0,0.9,0.6439607373100468
0.2,0.4,0.2,0.5,0.6453621298336302
0.2,0.2,0.7,0.8,0.590597850911731
0.2,0.7,0.3,0.4,0.6144852616543802
0.2,0.8,0.8,0.1,0.5874686424126448
0.0,0.0,0.3,0.4,0.7360422723432982
0.0,0.2,0.4,0.1,0.7561782873770267
0.1,0.5,0.0,0.3,0.6139134162740594
0.1,0.6,0.8,0.1,0.6237928325261146
0.7,0.8,0.0,0.8,0.6439607373100467
0.2,0.3,0.2,0.6,0.6248497578306279
0.2,0.0,0.1,0.4,0.643960737310047
0.2,0.5,0.9,0.5,0.6248497578306279
0.1,0.6,0.5,0.9,0.6439607373100469
0.0,0.4,0.6,0.5,0.6440714106331328
0.2,0.0,0.5,0.8,0.6377645233190659
0.1,0.8,0.2,0.9,0.6316820796784821
0.1,0.8,0.8,0.5,0.6214304783731612
0.1,0.5,0.3,0.9,0.6439607373100468
0.1,0.7,0.0,0.4,0.5955992039822924
0.3,0.8,0.0,0.3,0.6075621534891867
0.1,0.9,0.4,0.5,0.6925937902989336
0.1,0.4,0.3,0.7,0.6439607373100467
0.2,0.7,0.9,0.6,0.6008678631186665
0.2,0.3,0.7,0.1,0.6064733457571349
0.2,0.1,0.4,0.0,0.6117186625577367
0.1,0.5,0.2,0.1,0.5885962533484479
0.9,0.9,0.5,0.3,0.6266755552271206
0.1,0.5,0.7,0.7,0.6439607373100468
0.1,0.6,0.1,0.7,0.6439607373100469
0.1,0.7,0.5,0.2,0.587468642412645
0.1,0.7,0.7,0.7,0.6390473296442878
0.2,0.9,0.5,0.4,0.6098497114898191
0.0,0.1,0.7,0.8,0.7539676379716957
0.1,0.5,0.5,0.8,0.7188201576819379
0.3,0.2,0.7,0.5,0.6440714106331327
0.1,0.9,0.7,0.7,0.6098497114898191
0.1,0.9,0.1,0.5,0.6237928325261146
0.1,0.5,0.9,0.7,0.6678424812496366
0.0,0.1,0.9,0.5,0.6673630683860098
0.1,0.7,0.2,0.8,0.6427438093415667
0.3,0.0,0.2,0.9,0.6453621298336302
0.2,0.3,0.2,0.7,0.6439607373100468
0.2,0.1,0.0,0.4,0.643960737310047
0.2,0.4,0.9,0.2,0.606473345757135
0.5,0.7,0.6,0.6,0.6167434750290381
0.2,0.6,0.7,0.2,0.606473345757135
0.6,0.4,0.7,0.4,0.6440714106331327
0.0,0.2,0.9,0.4,0.6440714106331327
0.2,0.0,0.1,0.5,0.6537057888989191
0.4,0.8,0.1,0.6,0.6117186625577367
